物件,價位/坪,總價,房間,位置
💛吉安全新1350萬別墅💛,25.67,,4房2廳5衛,吉安鄉
專任 太昌住辦別墅,18.38,,4房2廳3衛,吉安鄉
🍎麗芝💯專！美崙高級一樓3房平面車,13.64,,3房2廳2衛,花蓮市
美崙全新*兩房*雙陽台*華廈,24.09,,2房1廳1衛,花蓮市
★站前★有陽台好通風採光佳自住投資套房,21.76,,1房1衛,花蓮市
鬧區的老宅低總價超值庭院透天,21.75,,3房1廳2衛,花蓮市
(自售極少物件)全新一層一戶電梯華廈,23.05,,3房2廳2衛,吉安鄉
市區和勝極簡優雅高樓層三房平車景觀宅,21,,3房2廳2衛,花蓮市
悠活專任-碧雲莊最頂級的景觀,16.43,,3房2廳3衛,花蓮市
💙💚太昌碧雲莊大地坪庭院車庫別墅,17.01,,4房2廳3衛,花蓮市
美崙面海視野極佳家具全可直接入住,21.12,,4房2廳2衛,花蓮市
專售商校大坪數輕奢華華廈,23.76,,3房2廳2衛,花蓮市
香榭大道旁~頂級花崗學區大樓,35.67,,3房1廳2衛,花蓮市
花蓮市中心大３房 ＋ 大平車,18.08,,3房2廳2衛,花蓮市
住商育萱大推✅美崙文教區17年車庫別墅,28.34,,4房3廳3衛,花蓮市
壽豐-獨棟villa-休閒別墅,23.44,,3房2廳4衛,壽豐鄉
中信劉建麟推薦~七腳川溪畔旁特色民宿,28.29,,5房2廳6衛,花蓮市
理想渡假村旁優質社區獨棟別墅😍,31.17,,4房3廳3衛,壽豐鄉
南埔公園旁孝親大別墅-找玲玲一定靈,30.3,,4房2廳2衛,吉安鄉
設計師之家美崙靜巷採光透天,34.4,,5房2廳3衛,花蓮市
北昌慈濟一樓面公園三房三衛,28.14,,3房2廳3衛,吉安鄉
🍁看好房買好屋🍁花蓮吉安電梯別墅🍁,32.68,,4房2廳5衛,吉安鄉
花蓮吉安鄉離塵不離城學校旁獨棟全新透天,26.05,,4房2廳4衛,吉安鄉
北埔嘉里全新預售別墅,24.01,,4房2廳5衛,新城鄉
自售＊美式花園農舍＊仲免,9.62,,3房3廳4衛,吉安鄉
永慶古家銘#北三棧台9電梯民宿農舍14套,26.11,,14房3廳5衛,新城鄉
住商育萱大推✅站前小資族最愛大套房✅獨賣,18.63,,1房1廳1衛,花蓮市
玉里國小對面三層樓透天,15.6,,5房1廳4衛,玉里鎮
💛許琳💛美崙雙面採光挑高套房,21.72,,1房1廳1衛,花蓮市
專任新城東方羅馬社區面寬庭院別墅,19.05,,3房2廳2衛,新城鄉
太魯閣讚,19.5,,,新城鄉
專任海景三房附平面車位,19.49,,3房2廳2衛,吉安鄉
吉安10年屋、低總價車庫別墅,26.33,,3房1廳3衛,吉安鄉
後站邊間孝親透天,35.04,,6房1廳2衛,花蓮市
冠軍悅山,24,,,花蓮市
市區商校全新二房含平面車位,27.09,,2房1廳2衛,花蓮市
站前美套房帶優質租約賣現買當房東,27.42,,1房1衛,花蓮市
花蓮站前有陽台景觀12坪大套房,21.5,,1房1衛,花蓮市
全新時尚電梯豪邸,27,,4房2廳4衛,吉安鄉
(專任)全新後站預售1+1房,29.01,,1房1廳1衛,花蓮市
美崙2房電梯華厦小家庭首選,22.53,,2房1廳1衛,花蓮市
最後4戶低公設22%美崙全新3房預售華廈,25,,3房2廳2衛,花蓮市
新城日出東方無敵海景農舍,58.25,,4房2廳5衛,新城鄉
慈惠優質邊間電梯別墅,29.15,,4房3廳5衛,吉安鄉
屋齡新，可直接入住花蓮福興7年屋別墅,25.46,,6房2廳6衛,吉安鄉
台灣玉如●宜昌學區一手屋獨棟透天,25.23,,3房2廳3衛,吉安鄉
售或租/豐濱坐擁山海間合法資材室,1.5,,1房1廳1衛,豐濱鄉
後站4套房大地坪走路到車站別墅祥泰推薦,32.54,,4房2廳5衛,花蓮市
永慶徐美珠~吉安車站時尚1-2樓類透天,22.86,,3房1廳3衛,吉安鄉
🍁看好房買好屋🍁全新整理邊間透天🍁,30.63,,2房1廳3衛,新城鄉
專賣不僅美麗只是全壽豐最美農舍 ,28,,10房2廳11衛,壽豐鄉
永慶徐美珠~溪畔有車位精緻時尚景觀美學宅,21,,3房2廳2衛,花蓮市
輕鬆買市區活巷3房孝親房露台透天走路上學,26.58,,3房2廳3衛,花蓮市
🍁看好房買好屋🍁太昌經典電梯別墅🍁,23.94,,4房2廳5衛,花蓮市
花蓮市區全新完工2房有車位華廈,27.09,,2房1廳2衛,花蓮市
永慶張秀娟💖專賣💖站前時尚質感兩房,25.37,,2房1廳1衛,花蓮市
市中心高機能四房華廈..採光佳,16.09,,4房2廳2衛,花蓮市
上美崙邊間花園別墅,35.49,,4房3廳4衛,花蓮市
專賣@南埔輕齡5房別墅1480萬,22.52,,5房2廳6衛,吉安鄉
🍁看好房買好屋🍁花蓮市全新兩房華廈,27.89,,2房1廳2衛,花蓮市
🍁看好房買好屋🍁吉安輕齡電梯別墅🍁,29.9,,5房2廳6衛,吉安鄉
專任:北昌稀有雙車庫大別墅,43.7,,3房2廳,吉安鄉
市中心高機能四房華廈..採光佳,16.09,,4房2廳2衛,花蓮市
專賣@南埔輕齡5房別墅1480萬,22.52,,5房2廳6衛,吉安鄉
高投報近東大裝潢屋，渡假/自住/出租皆宜,18.6,,1房1廳1衛,壽豐鄉
